"x"
"1" "Albania"
"2" "Algeria"
"3" "Andorra"
"4" "Argentina"
"5" "Armenia"
"6" "Australia"
"7" "Austria"
"8" "Azerbaijan"
"9" "Bahrain"
"10" "Belarus"
"11" "Belgium"
"12" "Bosnia and Herzegovina"
"13" "Brazil"
"14" "Bulgaria"
"15" "Canada"
"16" "Chile"
"17" "China"
"18" "Colombia"
"19" "Côte dIvoire'/Ivory Coast"
"20" "Croatia"
"21" "Cyprus"
"22" "Czech Republic"
"23" "Denmark"
"24" "Dominican Republic"
"25" "Ecuador"
"26" "Egypt"
"27" "El Salvador"
"28" "Estonia"
"29" "Faroe Islands"
"30" "Finland"
"31" "foreigners"
"32" "France"
"33" "Georgia"
"34" "Germany"
"35" "Ghana"
"36" "Gibraltar"
"37" "Greece"
"38" "Guadeloupe"
"39" "Honduras"
"40" "Hong Kong"
"41" "Hungary"
"42" "Iceland"
"43" "India"
"44" "Indonesia"
"45" "Iraq"
"46" "Ireland"
"47" "Israel"
"48" "Jamaica"
"49" "Japan"
"50" "Jordan"
"51" "Kazakhstan"
"52" "Kenya"
"53" "Kuwait"
"54" "Latvia"
"55" "Lebanon"
"56" "Libya"
"57" "Liechtenstein"
"58" "Lithuania"
"59" "Luxembourg"
"60" "Macedonia"
"61" "Malaysia"
"62" "Malta"
"63" "Mauritius"
"64" "Mexico"
"65" "Moldova"
"66" "Montenegro"
"67" "Morocco"
"68" "Netherlands"
"69" "New Zealand"
"70" "Nicaragua"
"71" "Nigeria"
"72" "Norway"
"73" "Oman"
"74" "Pakistan"
"75" "Panama"
"76" "Paraguay"
"77" "Peru"
"78" "Philippines"
"79" "Poland"
"80" "Portugal"
"81" "Qatar"
"82" "Reunion"
"83" "Romania"
"84" "Russian Federation"
"85" "Saudi Arabia"
"86" "Serbia"
"87" "Singapore"
"88" "Slovakia"
"89" "Slovenia"
"90" "South Africa"
"91" "South Korea"
"92" "Spain"
"93" "Sri Lanka"
"94" "Sweden"
"95" "Switzerland"
"96" "Taiwan"
"97" "Tanzania"
"98" "Thailand"
"99" "Togo"
"100" "Tunisia"
"101" "Turkey"
"102" "Ukraine"
"103" "United Arab Emirates"
"104" "United Kingdom"
"105" "United States"
"106" "Uruguay"
"107" "Vietnam"
